Condition,Sex,Age,Location,Measure_daly,Unit_daly,Forecast Scenario_daly,Year,Value_daly,Lower_daly,Upper_daly,Data Suite_daly,DA_daly,Measure_prev,Unit_prev,Forecast Scenario_prev,Value_prev,Lower_prev,Upper_prev,Data Suite_prev,DA_prev
Upper digestive system diseases,Both,All Ages,China,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0016753037528671002,0.0012965168386476,0.0022080279896611,GBD,Other,Prevalence,"Rate (per 100,000)",Past estimate,0.067241676,0.059184129999999995,0.07495075,GBD,Other
Upper digestive system diseases,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2023,0.00166753993966978,0.00132297818792818,0.0021876865445059302,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0677379068763952,0.0597662857978358,0.0755799240005671,GBD,Other
Upper digestive system diseases,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2024,0.00167371840950712,0.00132758306215206,0.00219220056188618,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0682697962537751,0.060250346607430304,0.0763418876169824,GBD,Other
Upper digestive system diseases,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2025,0.00168060772977549,0.0013294586989244998,0.0022005045799921,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.068823820718865,0.060801475506484404,0.0770568917811449,GBD,Other
Upper digestive system diseases,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2026,0.0016863880527139801,0.00133000354620733,0.00221259437294606,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0693566387614711,0.061334838148754796,0.0777654708970355,GBD,Other
Upper digestive system diseases,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2027,0.0016934481629902799,0.00133639169925551,0.00222622188283112,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0698958499154229,0.0618191708916851,0.0782207195498998,GBD,Other
Upper digestive system diseases,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2028,0.0017029273940063101,0.00134271057393013,0.00224280687241961,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.07044945520615109,0.0622987407085994,0.0788678005253241,GBD,Other
Upper digestive system diseases,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2029,0.0017133582721906501,0.00135164811672644,0.00225948322734471,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0710051230575503,0.0628387534201574,0.0794583611120812,GBD,Other
Upper digestive system diseases,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2030,0.00172343879466326,0.0013599971244388498,0.0022739423537451197,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0715563235771446,0.06339990889096049,0.0798412661384206,GBD,Other
Upper digestive system diseases,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2031,0.00173188064801162,0.00136579037072917,0.00228546092236741,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0720654453116487,0.06396729515207869,0.0802740951985838,GBD,Other
Upper digestive system diseases,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2032,0.00174091461733324,0.00136911869624086,0.00229551473826087,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0725640270143744,0.0645042273784958,0.08075887190258539,GBD,Other
Upper digestive system diseases,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2033,0.00175207814060642,0.00137923185824917,0.00231233318600992,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0730689562493136,0.0649632758424238,0.0812656173675602,GBD,Other
Upper digestive system diseases,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2034,0.00176362376717146,0.0013862362758904998,0.0023278843865013597,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0735603477648092,0.0653604064048256,0.0818379302659164,GBD,Other
Upper digestive system diseases,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2035,0.0017743653453010898,0.00139446369583205,0.00234222958480105,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0740245831266666,0.0658230538488319,0.0823809049280335,GBD,Other
Upper digestive system diseases,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2036,0.00178301249468469,0.00140358924729638,0.00234729760698305,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0744247500556328,0.066205005892396,0.08290492232867329,GBD,Other
Upper digestive system diseases,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2037,0.00179188427232636,0.00141173268172832,0.00235568236950665,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.07481474122475419,0.0665306427888134,0.0834853214881628,GBD,Other
Upper digestive system diseases,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2038,0.0018020220215704899,0.0014291912482549199,0.0023646358699264,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0752085574876572,0.06698705752746391,0.0841933997182695,GBD,Other
Upper digestive system diseases,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2039,0.0018122739217424002,0.00144541014506566,0.00237823601662539,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0755846343117862,0.06732287576851839,0.0848837875218734,GBD,Other
Upper digestive system diseases,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2040,0.00182148127105311,0.0014570510656810101,0.00239051175319631,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0759247126137108,0.06756897106594059,0.08530377592903729,GBD,Other
