Condition,Sex,Age,Location,Measure_daly,Unit_daly,Forecast Scenario_daly,Year,Value_daly,Lower_daly,Upper_daly,Data Suite_daly,DA_daly,Measure_prev,Unit_prev,Forecast Scenario_prev,Value_prev,Lower_prev,Upper_prev,Data Suite_prev,DA_prev
Urinary diseases and male infertility,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2025,0.000701279339418672,0.00051939441727372,0.000940461160016711,GBD,Fertility,Prevalence,"Rate (per 100,000)",Reference,0.02778458324533,0.021420458875293296,0.0358146072650233,GBD,Fertility
Urinary diseases and male infertility,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2026,0.000719490437032275,0.000533250417871237,0.000966296922441841,GBD,Fertility,Prevalence,"Rate (per 100,000)",Reference,0.028421038914597598,0.0220281788558361,0.0365366589328614,GBD,Fertility
Urinary diseases and male infertility,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2027,0.000738499318680485,0.000547505194099446,0.0009891744180352499,GBD,Fertility,Prevalence,"Rate (per 100,000)",Reference,0.0290464219407887,0.0226288147357205,0.037303260219958,GBD,Fertility
Urinary diseases and male infertility,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2028,0.0007595205607021031,0.0005640424801473511,0.00101666295108,GBD,Fertility,Prevalence,"Rate (per 100,000)",Reference,0.0296992358025736,0.0232088823292395,0.037916380256498704,GBD,Fertility
Urinary diseases and male infertility,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2029,0.000781610894992526,0.000579957243127272,0.00104626872756838,GBD,Fertility,Prevalence,"Rate (per 100,000)",Reference,0.030368470496102,0.023772905779860097,0.038578433983867,GBD,Fertility
Urinary diseases and male infertility,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2030,0.0008039354218456379,0.000595831790913146,0.0010765305491083799,GBD,Fertility,Prevalence,"Rate (per 100,000)",Reference,0.031046181888986397,0.024284444079518297,0.0394639596388847,GBD,Fertility
Urinary diseases and male infertility,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2031,0.000825927308169766,0.000613379900355311,0.00110565171066672,GBD,Fertility,Prevalence,"Rate (per 100,000)",Reference,0.0317103267897368,0.0248176520658967,0.0403400482136175,GBD,Fertility
Urinary diseases and male infertility,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2032,0.000848751976516772,0.000631781956032878,0.00113572660922866,GBD,Fertility,Prevalence,"Rate (per 100,000)",Reference,0.0323866951626626,0.0253452142274338,0.0412304183358133,GBD,Fertility
Urinary diseases and male infertility,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2033,0.000873206219329404,0.000650778170191101,0.0011693783099392,GBD,Fertility,Prevalence,"Rate (per 100,000)",Reference,0.033091151348265,0.025995139587323402,0.0420172925161695,GBD,Fertility
Urinary diseases and male infertility,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2034,0.0008984195734298,0.000668162733603139,0.00120313533893271,GBD,Fertility,Prevalence,"Rate (per 100,000)",Reference,0.0338128297973722,0.0265476363955335,0.0426846463142574,GBD,Fertility
Urinary diseases and male infertility,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2035,0.000923391681151292,0.00068453944475023,0.0012364019902541701,GBD,Fertility,Prevalence,"Rate (per 100,000)",Reference,0.0345466938621206,0.0271072015824667,0.043544608792230904,GBD,Fertility
Urinary diseases and male infertility,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2036,0.000947727821300919,0.000701632166275844,0.0012688217401732,GBD,Fertility,Prevalence,"Rate (per 100,000)",Reference,0.0352765064497208,0.027633666404213098,0.0443738010674654,GBD,Fertility
Urinary diseases and male infertility,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2037,0.000972437434230264,0.00071986337302097,0.0013013330315886401,GBD,Fertility,Prevalence,"Rate (per 100,000)",Reference,0.0360398221849294,0.0281877528663563,0.045331641339711494,GBD,Fertility
Urinary diseases and male infertility,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2038,0.000998460729055051,0.000739184743210514,0.00133508466661477,GBD,Fertility,Prevalence,"Rate (per 100,000)",Reference,0.036849513519378804,0.0287752480672593,0.046379137221156795,GBD,Fertility
Urinary diseases and male infertility,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2039,0.00102483944443655,0.000758253037754422,0.00136955260054501,GBD,Fertility,Prevalence,"Rate (per 100,000)",Reference,0.0376691222931549,0.029377104902998698,0.0474441450835225,GBD,Fertility
Urinary diseases and male infertility,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2040,0.00105035805796026,0.000778377337717165,0.00140209775556828,GBD,Fertility,Prevalence,"Rate (per 100,000)",Reference,0.0384669476064526,0.0299948496950039,0.0484729864704489,GBD,Fertility
Urinary diseases and male infertility,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2041,0.0010741755302204,0.000796306279811603,0.00143136198248102,GBD,Fertility,Prevalence,"Rate (per 100,000)",Reference,0.0391983468766955,0.0306048148235368,0.0494081444237258,GBD,Fertility
Urinary diseases and male infertility,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2042,0.00109743594967942,0.000813060786500711,0.00146351885829331,GBD,Fertility,Prevalence,"Rate (per 100,000)",Reference,0.0399198921072611,0.0312348751363393,0.0502979147973575,GBD,Fertility
Urinary diseases and male infertility,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2043,0.00112145812643057,0.0008304275834550511,0.00149620633270875,GBD,Fertility,Prevalence,"Rate (per 100,000)",Reference,0.040667781969217,0.0319112095932986,0.0512824935475883,GBD,Fertility
Urinary diseases and male infertility,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2044,0.00114598613460406,0.000848732174555551,0.00152920125551699,GBD,Fertility,Prevalence,"Rate (per 100,000)",Reference,0.0414135391678657,0.0326056304051813,0.052172934917028096,GBD,Fertility
Urinary diseases and male infertility,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2045,0.0011702531558228399,0.000866215194257931,0.0015631633885686699,GBD,Fertility,Prevalence,"Rate (per 100,000)",Reference,0.042129950044442005,0.0332291625424058,0.0530038644378108,GBD,Fertility
Urinary diseases and male infertility,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2046,0.00119389426128987,0.000884256616324946,0.0015945055667527898,GBD,Fertility,Prevalence,"Rate (per 100,000)",Reference,0.0427713378270822,0.0337803919401637,0.053770634872618,GBD,Fertility
Urinary diseases and male infertility,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2047,0.00121795220060884,0.0009033388570902019,0.00162780520619579,GBD,Fertility,Prevalence,"Rate (per 100,000)",Reference,0.0433734242381733,0.0344065058930594,0.0545717178781342,GBD,Fertility
Urinary diseases and male infertility,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2048,0.0012429326264717599,0.0009237758871394649,0.00166060819446024,GBD,Fertility,Prevalence,"Rate (per 100,000)",Reference,0.0439622473116892,0.0350246049182719,0.0554381879326557,GBD,Fertility
Urinary diseases and male infertility,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2049,0.00126813435304357,0.00094470014238311,0.00169294058993846,GBD,Fertility,Prevalence,"Rate (per 100,000)",Reference,0.044517526134969704,0.0355476349222092,0.056067037609547794,GBD,Fertility
Urinary diseases and male infertility,Both,All Ages,China,DALYs,"Rate (per 100,000)",Reference,2050,0.00129251140915952,0.0009635225334703211,0.00172713261697652,GBD,Fertility,Prevalence,"Rate (per 100,000)",Reference,0.045021700086934395,0.0358349027942614,0.0566744354747549,GBD,Fertility
Urinary diseases and male infertility,Both,All Ages,France,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0013201712419853,0.0011126691100407,0.0015525258688893998,GBD,Fertility,Prevalence,"Rate (per 100,000)",Past estimate,0.022264247999999997,0.017399637,0.02776783,GBD,Fertility
