Condition,Sex,Age,Location,Measure_daly,Unit_daly,Forecast Scenario_daly,Year,Value_daly,Lower_daly,Upper_daly,Data Suite_daly,DA_daly,Measure_prev,Unit_prev,Forecast Scenario_prev,Value_prev,Lower_prev,Upper_prev,Data Suite_prev,DA_prev
Uterine cancer,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2036,0.000880899033687383,0.0007668842884036791,0.00100362977230408,GBD,Oncology,Prevalence,"Rate (per 100,000)",Reference,0.0027088314542364797,0.0023560636807525,0.00307219211173681,GBD,Oncology
Uterine cancer,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2037,0.000888677482392667,0.0007667379061054519,0.0010135381762062,GBD,Oncology,Prevalence,"Rate (per 100,000)",Reference,0.00273080332556078,0.0023839535839016803,0.00310721326427972,GBD,Oncology
Uterine cancer,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2038,0.0008961596847033399,0.0007732899073899339,0.001027384113494,GBD,Oncology,Prevalence,"Rate (per 100,000)",Reference,0.0027502884799249,0.00238401962575272,0.0031545389430005597,GBD,Oncology
Uterine cancer,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2039,0.0009028176979057579,0.000779334571647238,0.00103526528729278,GBD,Oncology,Prevalence,"Rate (per 100,000)",Reference,0.0027632749917082997,0.0023812568731565098,0.00316003643189756,GBD,Oncology
Uterine cancer,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2040,0.000909521129880094,0.0007843126957306799,0.00104880202392135,GBD,Oncology,Prevalence,"Rate (per 100,000)",Reference,0.00277700980069947,0.00239552154730345,0.0031822757270222298,GBD,Oncology
Uterine cancer,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2041,0.000914681737243162,0.000790635374467177,0.0010531667952688901,GBD,Oncology,Prevalence,"Rate (per 100,000)",Reference,0.00278523791226667,0.00239556285679498,0.00319394583310963,GBD,Oncology
Uterine cancer,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2042,0.0009205286629775939,0.0007887464815290031,0.00105625978370763,GBD,Oncology,Prevalence,"Rate (per 100,000)",Reference,0.00279438210836535,0.00239541083280225,0.00320022763090235,GBD,Oncology
Uterine cancer,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2043,0.000925673834747449,0.000790039876579705,0.00106359336937894,GBD,Oncology,Prevalence,"Rate (per 100,000)",Reference,0.0027994848870724898,0.00240053843174387,0.00321922377440031,GBD,Oncology
Uterine cancer,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2044,0.000930138821921625,0.0007933994430695699,0.00107067498921586,GBD,Oncology,Prevalence,"Rate (per 100,000)",Reference,0.00280368598876479,0.00238572474902154,0.00321279114358002,GBD,Oncology
Uterine cancer,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2045,0.0009334531453135401,0.000794983716852818,0.00107409818713424,GBD,Oncology,Prevalence,"Rate (per 100,000)",Reference,0.0028029336007607797,0.00238192079834801,0.00322357699354087,GBD,Oncology
Uterine cancer,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2046,0.000937361012707655,0.000798526633797943,0.00108561367859599,GBD,Oncology,Prevalence,"Rate (per 100,000)",Reference,0.00280349438152073,0.0023865781563266,0.00321979913863455,GBD,Oncology
Uterine cancer,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2047,0.0009405611144003861,0.000800827865542277,0.00108740396292483,GBD,Oncology,Prevalence,"Rate (per 100,000)",Reference,0.00280433195669657,0.00238641620284897,0.0032418874295857803,GBD,Oncology
Uterine cancer,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2048,0.000942965691242087,0.0007987882551120169,0.00108761283568205,GBD,Oncology,Prevalence,"Rate (per 100,000)",Reference,0.00279967862763807,0.00237565602709478,0.00323514324803218,GBD,Oncology
Uterine cancer,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2049,0.000944305851386314,0.000796700318833454,0.00108417939135982,GBD,Oncology,Prevalence,"Rate (per 100,000)",Reference,0.00279520257506841,0.00235836025526633,0.00324487763545315,GBD,Oncology
Uterine cancer,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2050,0.000946599827835435,0.000797664772220302,0.00108677450366659,GBD,Oncology,Prevalence,"Rate (per 100,000)",Reference,0.00279435034366811,0.00234555498027753,0.00324300337892745,GBD,Oncology
