Condition,Sex,Age,Location,Measure_daly,Unit_daly,Forecast Scenario_daly,Year,Value_daly,Lower_daly,Upper_daly,Data Suite_daly,DA_daly,Measure_prev,Unit_prev,Forecast Scenario_prev,Value_prev,Lower_prev,Upper_prev,Data Suite_prev,DA_prev
Viral skin diseases,Both,All Ages,France,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0007289036041971,0.00045891898548930003,0.0011041534263268,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Past estimate,0.023963674999999997,0.023275297,0.024710491,GBD,Infectious Diseases
Viral skin diseases,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Past estimate,2022,0.001154614064673,0.0007444128950231,0.0017378329532958,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Past estimate,0.038070433,0.036771934,0.03937318,GBD,Infectious Diseases
Viral skin diseases,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Past estimate,2022,0.0009663915974975999,0.0006150456945824,0.0014427457672202,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Past estimate,0.031731524,0.030711462999999998,0.032762269999999996,GBD,Infectious Diseases
Viral skin diseases,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2023,0.00072595200145848,0.000462344979925357,0.00109569008638333,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.023860074202545403,0.023176161895579597,0.0246253591961684,GBD,Infectious Diseases
Viral skin diseases,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Reference,2023,0.0009648270090577129,0.000610329204083323,0.00143903223665761,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.0316813955580109,0.030692833426010303,0.032708797030238705,GBD,Infectious Diseases
Viral skin diseases,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Reference,2023,0.0011530520199115701,0.000743367080363547,0.0017381841030135999,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.038031996335261505,0.0367243193993872,0.0393266276660886,GBD,Infectious Diseases
Viral skin diseases,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2024,0.000723063965858894,0.000460441858834595,0.00109205048941522,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.0237719748623931,0.023092502030268202,0.0245286410319685,GBD,Infectious Diseases
Viral skin diseases,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Reference,2024,0.000961595157500666,0.000608120206516219,0.00143400790125296,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.0315838951881779,0.0305929984100211,0.0326139058198966,GBD,Infectious Diseases
Viral skin diseases,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Reference,2024,0.0011523095154295602,0.00074265997399807,0.0017369583346629,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.0380122836461732,0.0366925745176904,0.0392847571609705,GBD,Infectious Diseases
Viral skin diseases,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2025,0.000720333951175692,0.000458644611320498,0.0010886197609213,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.0236889351928766,0.023009796595372698,0.0244370908303544,GBD,Infectious Diseases
Viral skin diseases,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Reference,2025,0.000958666284737413,0.00060596483049856,0.0014295986787395299,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.031495918828375304,0.030507134464393397,0.032535629104498295,GBD,Infectious Diseases
Viral skin diseases,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Reference,2025,0.00115146740785497,0.000741964142188,0.00173543664843676,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.037989075350162604,0.0366567919652466,0.0392602736162509,GBD,Infectious Diseases
Viral skin diseases,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2026,0.00071780036683296,0.000456982662929575,0.001085480210609,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.0236121639073584,0.0229263340643208,0.0243526850916792,GBD,Infectious Diseases
Viral skin diseases,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Reference,2026,0.0009560084934086539,0.000604089594279337,0.0014253107483626801,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.031416565834071895,0.0304252854452078,0.0324585809753564,GBD,Infectious Diseases
Viral skin diseases,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Reference,2026,0.0011504489123090001,0.000741201906745996,0.0017334860302368699,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.0379597646423838,0.0366283293197182,0.0392418531793525,GBD,Infectious Diseases
Viral skin diseases,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2027,0.0007155511722265839,0.000455501115611168,0.00108352060787346,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.0235444384292037,0.022854091818707102,0.0242880835786436,GBD,Infectious Diseases
Viral skin diseases,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Reference,2027,0.0009537654008906599,0.000602329871884299,0.00142158801598222,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.0313504161876707,0.0303509824387662,0.0323949816372463,GBD,Infectious Diseases
Viral skin diseases,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Reference,2027,0.00114917928404332,0.0007401358506689541,0.0017308943339350799,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.0379219808342865,0.0366116379136058,0.039204907531163596,GBD,Infectious Diseases
Viral skin diseases,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2028,0.000713456538923828,0.000454141929334352,0.00108115386097686,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.023481660487531798,0.022774481125644,0.0242306972560479,GBD,Infectious Diseases
Viral skin diseases,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Reference,2028,0.0009517935974837459,0.000600688827342821,0.00141828141890237,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.0312930162506063,0.0302724203745869,0.0323438307000901,GBD,Infectious Diseases
Viral skin diseases,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Reference,2028,0.0011475268993735,0.000738840106373585,0.0017273156651345701,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.037871815752164896,0.0365785822909227,0.0391578425729094,GBD,Infectious Diseases
Viral skin diseases,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2029,0.0007114880847984019,0.000452882979260489,0.00107795818922263,GBD,Infectious Diseases,Prevalence,"Rate (per 100,000)",Reference,0.023422895480164404,0.0227287925726838,0.0241727389128537,GBD,Infectious Diseases
